property	
http://aims.fao.org/aos/agrontology	actsUpon
http://aims.fao.org/aos/agrontology	affects
http://aims.fao.org/aos/agrontology	afflicts
http://aims.fao.org/aos/agrontology	benefitsFrom
http://aims.fao.org/aos/agrontology	causes
http://aims.fao.org/aos/agrontology	compose
http://aims.fao.org/aos/agrontology	controls
http://aims.fao.org/aos/agrontology	developsFrom
http://aims.fao.org/aos/agrontology	developsInto
http://aims.fao.org/aos/agrontology	follows
http://aims.fao.org/aos/agrontology	formerlyIncludedIn
http://aims.fao.org/aos/agrontology	formerlyIncludes
http://aims.fao.org/aos/agrontology	greaterThan
http://aims.fao.org/aos/agrontology	growsln
http://aims.fao.org/aos/agrontology	hasAbbreviation
http://aims.fao.org/aos/agrontology	hasAcronym
http://aims.fao.org/aos/agrontology	hasAntonym
http://aims.fao.org/aos/agrontology	hasBiologicalControlAgent
http://aims.fao.org/aos/agrontology	hasBreedingMethod
http://aims.fao.org/aos/agrontology	hasBroaderSynonym
http://aims.fao.org/aos/agrontology	hasChemicalFormula
http://aims.fao.org/aos/agrontology	hasCodeISO3Country
http://aims.fao.org/aos/agrontology	hasComponent
http://aims.fao.org/aos/agrontology	hasComposition
http://aims.fao.org/aos/agrontology	hasControlMethod
http://aims.fao.org/aos/agrontology	hasDisease
http://aims.fao.org/aos/agrontology	hasGoalOrProcess
http://aims.fao.org/aos/agrontology	hasHost
http://aims.fao.org/aos/agrontology	hasLocalName
http://aims.fao.org/aos/agrontology	hasMember
http://aims.fao.org/aos/agrontology	hasNarrowerSynonym
http://aims.fao.org/aos/agrontology	hasNaturalEnemy
http://aims.fao.org/aos/agrontology	hasNearSynonym
http://aims.fao.org/aos/agrontology	hasObjectOfActivity
http://aims.fao.org/aos/agrontology	hasOldName
http://aims.fao.org/aos/agrontology	hasParent
http://aims.fao.org/aos/agrontology	hasPart
http://aims.fao.org/aos/agrontology	hasPathogen
http://aims.fao.org/aos/agrontology	hasPest
http://aims.fao.org/aos/agrontology	hasPhysiologicalFunction
http://aims.fao.org/aos/agrontology	hasPlural
http://aims.fao.org/aos/agrontology	hasPostProductionPractice
http://aims.fao.org/aos/agrontology	hasPractice
http://aims.fao.org/aos/agrontology	hasProduct
http://aims.fao.org/aos/agrontology	hasPropagationMaterial
http://aims.fao.org/aos/agrontology	hasPropagationProcess
http://aims.fao.org/aos/agrontology	hasProperty
http://aims.fao.org/aos/agrontology	hasRelatedTerm
http://aims.fao.org/aos/agrontology	hasScientificName
http://aims.fao.org/aos/agrontology	hasSingular
http://aims.fao.org/aos/agrontology	hasSubstitute
http://aims.fao.org/aos/agrontology	hasSymbol
http://aims.fao.org/aos/agrontology	hasSymptom
http://aims.fao.org/aos/agrontology	hasSynonym
http://aims.fao.org/aos/agrontology	hasTaxonomicRank
http://aims.fao.org/aos/agrontology	hasTermType
http://aims.fao.org/aos/agrontology	hasTheme
http://aims.fao.org/aos/agrontology	hasTradeName
http://aims.fao.org/aos/agrontology	hasType
http://aims.fao.org/aos/agrontology	includes
http://aims.fao.org/aos/agrontology	includesSubprocess
http://aims.fao.org/aos/agrontology	indicates
http://aims.fao.org/aos/agrontology	influences
http://aims.fao.org/aos/agrontology	isAbbreviationOf
http://aims.fao.org/aos/agrontology	isAchievedByMeansOf
http://aims.fao.org/aos/agrontology	isAcronymOf
http://aims.fao.org/aos/agrontology	isActedUponBy
http://aims.fao.org/aos/agrontology	isAffectedBy
http://aims.fao.org/aos/agrontology	isAfflictedBy
http://aims.fao.org/aos/agrontology	isAGrowthEnvironmentFor
http://aims.fao.org/aos/agrontology	isBeneficialFor
http://aims.fao.org/aos/agrontology	isBiologicalControlAgentOf
http://aims.fao.org/aos/agrontology	isBreedingMethodOf
http://aims.fao.org/aos/agrontology	isCausedBy
http://aims.fao.org/aos/agrontology	isChemicalFormulaOf
http://aims.fao.org/aos/agrontology	isComponentOf
http://aims.fao.org/aos/agrontology	isComposedOf
http://aims.fao.org/aos/agrontology	isCompositionOf
http://aims.fao.org/aos/agrontology	isControlledBy
http://aims.fao.org/aos/agrontology	isControlMethodOf
http://aims.fao.org/aos/agrontology	isDerivedFrom
http://aims.fao.org/aos/agrontology	isDiseaseFor
http://aims.fao.org/aos/agrontology	isHostFor
http://aims.fao.org/aos/agrontology	isIncludedIn
http://aims.fao.org/aos/agrontology	isInfluencedBy
http://aims.fao.org/aos/agrontology	isInputFor
http://aims.fao.org/aos/agrontology	isLocalNameOf
http://aims.fao.org/aos/agrontology	isMadeFrom
http://aims.fao.org/aos/agrontology	isMeansFor
http://aims.fao.org/aos/agrontology	isMeasuredBy
http://aims.fao.org/aos/agrontology	isMemberOf
http://aims.fao.org/aos/agrontology	isNaturalEnemyOf
http://aims.fao.org/aos/agrontology	isObjectOfActivity
http://aims.fao.org/aos/agrontology	isOldNameOf
http://aims.fao.org/aos/agrontology	isOutputFrom
http://aims.fao.org/aos/agrontology	isParentOf
http://aims.fao.org/aos/agrontology	isPartOf
http://aims.fao.org/aos/agrontology	isPartOfSubvocabulary
http://aims.fao.org/aos/agrontology	isPathogenOf
http://aims.fao.org/aos/agrontology	isPerformedBy
http://aims.fao.org/aos/agrontology	isPerformedByMeansOf
http://aims.fao.org/aos/agrontology	isPhysiologicalFunctionOf
http://aims.fao.org/aos/agrontology	isPostProductionPracticeFor
http://aims.fao.org/aos/agrontology	isPracticeFor
http://aims.fao.org/aos/agrontology	isPreventedBy
http://aims.fao.org/aos/agrontology	isProcessFor
http://aims.fao.org/aos/agrontology	isProducedBy
http://aims.fao.org/aos/agrontology	isPropagationMaterialOf
http://aims.fao.org/aos/agrontology	isPropagationProcessOf
http://aims.fao.org/aos/agrontology	isPropertyOf
http://aims.fao.org/aos/agrontology	isSourceOf
http://aims.fao.org/aos/agrontology	isSpatiallyIncludedIn
http://aims.fao.org/aos/agrontology	isSpatiallyIncludedInCity
http://aims.fao.org/aos/agrontology	isStudiedBy
http://aims.fao.org/aos/agrontology	isSubprocessOf
http://aims.fao.org/aos/agrontology	isSubstituteFor
http://aims.fao.org/aos/agrontology	isSymbolFor
http://aims.fao.org/aos/agrontology	isTaxonomicRankOf
http://aims.fao.org/aos/agrontology	isThemeOf
http://aims.fao.org/aos/agrontology	isTradeNameOf
http://aims.fao.org/aos/agrontology	isUsedAs
http://aims.fao.org/aos/agrontology	isUsedIn
http://aims.fao.org/aos/agrontology	isUsedToMake
http://aims.fao.org/aos/agrontology	isUseOf
http://aims.fao.org/aos/agrontology	m49Code
http://aims.fao.org/aos/agrontology	makeUseOf
http://aims.fao.org/aos/agrontology	measures
http://aims.fao.org/aos/agrontology	performs
http://aims.fao.org/aos/agrontology	pestOf
http://aims.fao.org/aos/agrontology	precedes
http://aims.fao.org/aos/agrontology	prevents
http://aims.fao.org/aos/agrontology	produces
http://aims.fao.org/aos/agrontology	productOf
http://aims.fao.org/aos/agrontology	quantitativeRelationship
http://aims.fao.org/aos/agrontology	scientificNameOf
